Realization1,Realization2,Realization3,Realization4,Realization5,Realization6,Realization7,Realization8,Realization9,Realization10
2668.8,2543.8,4182.6,2301.4,2692.4,3731.9,2789.6,3257.5,1439.6,2321.9
2526.8,2487.2,4372.7,2326.4,2692.4,4018.6,2789.6,3257.5,1563.4,2321.9
2413.3,2290.4,4553.8,2354.4,2492.1,4420.1,2829.2,3440.2,1738,2375.4
2300.7,2235.9,5098.5,2244.3,2435.5,4792.2,2868.7,3805.5,1868,2403.7
2190.2,2515.5,6028,2162.2,2378.8,5906.1,2928.1,3764.9,2192.9,2545.1
2135.4,2743.6,7303,2162.2,2350.5,6702.4,3017.1,3846.1,2643.6,2629.9
2135.4,3098,8060.5,2189.3,2378.8,6986.1,3066.6,3480.8,2994.9,2688.5
2245.9,3557.3,8221.9,2271.4,2350.5,6823.7,3017.1,3440.2,3206,2862.2
2441.6,3970.1,8499.5,2162.2,2130,6662.1,3215,3511.2,3359.3,3009.7
2526.8,5271.3,9244.9,2189.3,2021.8,6301.5,3422.7,3308.3,3671,3099.5
3051,6725.9,10571,2664.8,1994.5,6261.7,3709.6,3440.2,3926.8,3038.9
3416.1,7109.5,11769,3012.1,2021.8,6823.7,3670,3957.8,4188.8,3589.4
3729.4,6343.3,12459,3312.4,2294.9,7272.4,3937.1,4120.1,4518.7,3809.5
3760.8,5753.8,12661,3619.7,2407.2,7852.3,4154.7,4384,4656.8,3874.2
3729.4,5271.3,13010,4001.1,2548.8,8911,4956,4729,4725.8,4069.1
3729.4,4733.2,13551,4259.4,2895.7,9299.1,5935.3,5043.6,4691.3,4069.1
3987.9,4630.3,13744,6935.2,3470.2,8996.9,6063.9,4891.4,4553.2,4134.7
4248.5,4493,13664,6935.2,3594.6,8399.2,6558.5,6565.8,4384.7,4297.3
4651.1,4972.5,13800,7845.1,4368.3,7894.1,5688,7570.5,4188.8,4529.6
5063.8,5609.4,14084,7845.1,4173.1,7437.1,5361.5,8362,4090.3,4804.3
4994.8,5645.8,13799,7948.2,4400.7,7519.8,5143.9,9255.1,4025.3,4873
5132.7,6610.8,13099,7845.1,5293.7,7354.7,4916.4,10554,3861.9,5112.4
5295,8411.6,11822,7566.8,6056.3,7354.7,4649.3,10148,3765.4,5322.4
2804.9,5438.7,10726,3649,4789.2,2736.9,7612.8,4772,5154.1,7533.5
2689.9,5583.4,11893,3586.4,4966.7,3520.4,10042,4948.8,5188.7,8568.4
2631.9,5655.7,12955,3586.4,5143.1,4018.9,14858,5124.7,5439.2,9032
2603.9,5980.2,14847,3522.7,4789.2,4191.9,16723,4772,6629.4,9361.4
2576.9,6466.5,16360,3397.5,4789.2,4263.1,15658,4772,7454.1,9456
2631.9,7315.5,19041,3490.9,4860.2,4364.9,13730,4842.7,7979.5,9173.3
2833.9,8289.1,24995,3586.4,4789.2,4649.7,12179,4772,8084.4,8753.5
3097.9,8958.3,32140,3649,4718.2,4832.9,11178,4701.2,8020.3,8660.9
3553.9,10054,35345,3808.2,4611.7,5463.7,11947,4595.1,7737.2,9409.2
3615.9,10962,34908,4071,4611.7,6613.4,11947,4595.1,7696.5,10031
3523.9,11761,34035,4334.9,4442.6,7712.3,11328,4426.6,7817.6,11315
3803.9,12783,34362,5092.6,4442.6,8984.1,11571,4426.6,7979.5,11315
4450.9,14481,39596,5779.5,4611.7,10032,12286,4595.1,7737.2,11417
4959.8,15901,41196,6375,5502.3,10683,13798,5482.5,7655.8,13335
5628.8,16270,44300,6841.1,6561,10480,17007,6537.4,7616,15127
6118.8,16484,47335,7113.2,7435.9,10276,19552,7409.2,7616,16022
6700.8,16164,45507,7212.8,7850.4,10083,19611,7822.2,7616,13763
7558.8,15954,40740,7883.3,8182.4,10032,18428,8153.1,7899.1,12702
8124.7,16498,37535,9821.7,8182.4,10683,17007,8153.1,8145.5,13655
8457.7,17550,36875,9327.9,9048,11192,15865,9015.5,8484.6,13655
8790.7,18757,35673,8470.6,9048,13430,14911,9015.5,8653.6,15404
9213.7,21275,34035,8170.8,8917.5,16890,13693,8885.4,8739.1,18508
9084.7,23933,31619,7965.4,8787,20552,12584,8755.4,8484.6,19705
8374.7,23350,29986,7965.4,8290,21163,11947,8260.2,7655.8,20130
7876.7,21521,30990,8641,8058.2,20552,11755,8029.3,8569.1,19705
7876.7,20049,38221,9416.2,8483.1,19942,11947,8452.7,9120.9,19224
8748.7,19344,40740,10002,10494,18212,12043,10456,9874.4,17048
11049,19461,38565,12213,11633,18212,12386,11591,9784.8,15293
15407,20598,37993,14261,12926,17602,14593,12879,9874.4,15684
18726,22259,36548,15175,14229,17195,17855,14178,12455,16022
18528,30400,25354,12867,16825,28551,13214,15948,5486.9,8179.1
17505,28667,21944,12336,16718,28479,13995,14490,5998.3,11356
16300,26270,21515,13405,15758,26119,14522,12687,6341.3,14545
16355,24952,20902,15457,14700,24790,14522,11525,6015.3,14706
17067,24952,21024,15174,13751,24465,14786,10852,5654.4,14491
16848,25607,22127,14446,13502,22522,14470,10639,5797.9,14868
16848,25081,25754,13895,14551,20856,14048,9898.4,5244.7,19788
17396,30758,29086,13841,15299,19178,13214,9356.6,5016.4,19907
17286,29359,31007,13731,15299,18298,13017,8740.4,5792,19127
17560,25129,32631,13189,14551,19942,12622,8537.4,7119.8,17550
17505,20006,33535,12813,13751,20548,12178,8537.4,8738.8,15943
17122,19517,34294,12920,16825,20548,12081,8577.5,10130,14652
16191,19413,34829,13405,19501,19765,11985,8946.1,11285,14706
14898,19128,35060,14004,19619,19178,14628,9771.8,11558,14384
13513,18844,35448,14391,19038,19178,15788,11297,11523,14545
12375,18560,35448,14949,18758,19942,16210,13174,11729,15191
11753,19413,35371,14668,18758,21903,18221,15584,12171,15836
11520,20779,35294,14725,18312,26802,19221,15948,12666,16588
11149,23049,34527,14668,18424,26666,20842,16312,13422,17379
11427,23991,35682,14225,18424,26051,22075,16208,14463,19187
12568,23991,36307,14446,20435,25716,23870,16676,14576,21070
13103,23551,36151,14170,21136,24465,26519,16676,14705,22203
14077,23677,37361,14170,22357,22522,27069,16729,15090,23156
16958,23049,37929,15856,23526,22396,27000,16676,15990,24946
22401,21674,36954,18740,23853,22522,26519,16835,16076,25744
25467,20601,35529,22867,23961,25134,26178,16729,15919,25609
25074,21554,34599,27187,22911,29836,26178,16156,15241,25277
25074,26071,34676,27874,21440,37581,26178,15896,14453,24946
27212,29566,34829,27392,21374,42505,25908,13661,14567,24614
28675,34433,34527,28012,24788,45076,27413,14051,15171,25695
28884,38737,34527,26371,23853,45958,27900,14879,16563,26703
20520,42510,51339,15439,34660,32955,23335,38980,29092,33431
20397,44688,49237,17926,34660,35632,22033,37519,28579,32908
19445,47048,44105,19895,33129,38413,21032,36544,27839,32165
17598,46503,44105,19169,30907,39911,20531,35525,27086,31067
17877,45142,38150,17408,28965,39851,21933,34825,26369,29724
18163,43892,34200,17926,27929,36928,23736,34522,25569,29232
18746,42250,32097,19169,26643,33881,24136,34138,22819,29232
19912,41299,31072,18651,28389,32725,22634,34594,21530,28811
20520,42077,29077,17408,28965,31177,22033,34749,21117,28039
22046,44688,28723,17097,28389,30381,23435,34138,20725,29442
24607,51937,28154,18548,28246,31063,25238,33456,20592,30144
26946,56934,27800,20827,29972,32437,28142,32551,20871,29442
29759,64185,28154,29842,32229,33360,29945,31442,20618,29442
31919,66420,29077,33883,35435,32955,29745,30648,20436,30850
34017,67178,30497,39375,41125,32725,32048,30719,20074,33207
34932,67395,30355,41862,46991,32494,36955,30576,21085,36908
38114,73393,29503,39893,48973,31806,39960,30434,21443,43007
38114,73176,29574,46525,48511,31577,42263,30505,21505,32908
37952,71866,32318,48597,46902,29759,45168,31003,21677,33431
38924,63972,35740,47975,44526,27854,48272,32701,21430,33730
39733,62588,36530,46939,45389,26195,53080,31293,21435,33730
42363,63333,35896,45799,47169,24994,56785,30079,21678,34943
43723,62588,33443,42380,46277,23966,59489,35289,21275,36108
45181,61953,34124,38857,44526,22841,60391,44648,21822,43511
44744,60506,34964,37199,41782,22415,60791,48725,23149,44440
43469,59375,34581,34194,39484,23161,61192,49458,24729,47049
41768,57939,33595,32329,41700,23966,61392,48999,28163,52291
40137,56331,34200,29842,46456,23107,59589,48175,31677,59179
39489,55252,37501,27873,51752,21727,55884,46841,30855,59179
39733,51742,38069,26112,54569,20940,51477,45694,32580,62248
41768,50493,39122,24247,56313,20992,47371,49091,32172,63258
45605,45145,46748,41287,54473,41320,53199,29362,19276,39874
46742,44946,46542,39692,49402,45148,51332,30075,19679,37438
48190,45444,47058,38196,44353,42332,51425,30788,19506,36625
48811,44747,46335,38595,42237,46466,53292,29647,19276,37438
51603,43351,44891,38894,43422,44287,52545,28792,19102,42343
51396,41757,43239,39293,43761,43437,51238,28649,19917,48358
49018,40860,42311,38196,42660,45763,49278,30574,20219,50191
48397,41059,42517,39692,41560,50524,48182,35605,20762,46665
51396,42355,43859,39991,42660,51892,42887,35915,22163,44903
50362,43052,44581,39692,46531,50524,41045,34981,24899,42770
53361,44946,46542,38894,50492,47344,40135,33455,29902,42770
53568,45544,47161,39293,54473,43012,39887,32849,31253,41497
57808,45843,47471,38894,55908,41159,38066,32939,30532,39062
58221,49132,50876,38794,53995,40511,34710,36385,30042,40685
59152,53218,55107,37897,50946,39704,31520,38010,28500,43111
59359,55012,56965,37298,49128,44627,30070,36708,27939,41761
59359,54314,56242,36002,47948,41320,29635,35291,27729,39468
59152,53018,54901,34606,47231,48243,29055,33607,28220,40685
58014,51922,53766,33509,45569,53755,27695,31807,28850,49549
56670,51623,53456,31115,42492,56724,27138,31658,29692,53796
53361,51523,53353,29819,39938,55666,27207,30289,30744,53986
49224,50029,51805,28323,38649,52571,27417,28363,31326,55518
46949,48733,50463,28323,38891,48060,26859,27936,29762,57450
44261,48334,50050,28821,38408,43862,26173,27103,29762,58827
42296,51324,53146,31713,36636,41992,26929,25609,26977,59627
40641,55609,57584,34306,36475,47432,25629,24556,21607,57353
38366,57304,59338,34606,35298,46466,25428,23909,19506,53986
36401,56407,58409,35004,33848,41320,24308,22873,17817,53134
34953,55111,57068,33110,33547,33766,23321,21806,18181,50282
30817,54912,56861,31215,33021,34143,22545,20640,18988,48450
25530,18239,54636,18833,32804,33900,34742,33730,40847,41950
23262,18181,53424,18773,30604,32710,33758,37146,39648,39628
21688,18068,52919,18657,28610,30592,31746,36028,38649,36184
20469,18181,52313,18773,29179,29126,27623,31874,38050,34386
19746,20742,53626,21417,29535,27522,24602,31437,36852,33004
18583,22257,52515,22982,27065,26297,22873,30709,34954,31215
17443,23514,50697,24279,25060,26365,23769,30078,32058,30488
16887,23702,47667,24473,23424,26633,23641,29027,29062,29035
18583,23199,45850,23954,21838,26164,22745,26600,26965,27257
19863,22068,45143,22787,20734,25632,21441,23974,28263,26152
17499,21758,42315,22466,20001,24646,19804,22070,29461,25211
18118,21099,38982,21786,18829,23946,18876,21643,29062,24748
18583,20623,35751,21294,17956,23187,18064,22386,28563,23892
16442,20146,35549,20802,17228,22427,18064,23657,27264,22840
13878,20027,36458,20679,16231,21441,16948,23911,25267,26909
12762,19669,36155,20309,15706,20540,16393,22830,23469,32701
12177,20325,33731,20987,15287,19939,15863,21583,22171,29399
11841,20146,33125,20802,14709,19294,16071,20860,21672,26221
